model,epoch,auc,f1,utility
Default_LGSTM_BestUtil_199,25,0.9849262400534451,0.44520410215161876,0.16162694300518118
Default_LGSTM_BestUtil_199,50,0.9698839193467449,0.44204182913860335,0.1320466321243522
Default_LGSTM_BestUtil_199,75,0.9762590128624508,0.4124256444150694,0.11779792746113976
Default_LGSTM_BestUtil_199,100,0.9755359379999718,0.42919609821728893,0.15390155440414488
Default_LGSTM_BestAUC_134,25,0.9913486960179883,0.5123537061118335,0.1682487046632124
Default_LGSTM_BestAUC_134,50,0.9902096247547684,0.5187630298818624,0.1772746113989637
Default_LGSTM_BestAUC_134,75,0.9898924610002067,0.526691662203178,0.24620725388601042
Default_LGSTM_BestAUC_134,100,0.9905913343834021,0.5371037463976945,0.1823730569948186
Default_LGSTM_BestAUC_14,25,0.9919112994422676,0.5710881652104846,0.17314507772020715
Default_LGSTM_BestAUC_14,50,0.991770837245389,0.5198000768935025,0.1469378238341968
Default_LGSTM_BestAUC_14,75,0.9909796179026293,0.5083895853423337,0.12676165803108794
Default_LGSTM_BestAUC_14,100,0.9911998264414162,0.5365572826712723,0.1950414507772022
